id,nome,categoria,valor
43614,Samsung Protetor de Surto Ultra Slim 1221,Eletrônicos,9432.18
65319,Razer SSD 1TB NVMe MacBook Air 8859,Informática,10256.36
198598,MSI Monitor Gamer Legion 3188,Informática,5779.42
32297,Dell Monitor Gamer Vostro 2034,Informática,11035.85
275051,JBL Protetor de Surto Crystal 7266,Eletrônicos,8852.61
197490,Realme Capa de Silicone Galaxy S23 3946,Comunicação,2116.18
166530,HP Notebook ThinkPad 722,Informática,6364.84
172778,MSI Webcam Full HD ROG Strix 1580,Informática,9168.1
196541,Sony Cabo HDMI 2.1 Series X 6349,Eletrônicos,1702.92
193687,Huawei Smartwatch Pixel 8 4334,Comunicação,621.43
175991,Acer Roteador Wi-Fi 6 ROG Strix 3315,Informática,7307.24
40098,JBL Protetor de Surto Ultra Slim 9230,Eletrônicos,9768.54
42752,Logitech Teclado Mecânico Legion 4225,Informática,3845.02
271178,TCL Protetor de Surto Pro 2024 3694,Eletrônicos,4430.92
157290,LG Fone de Ouvido Bluetooth Elite Edition 9340,Eletrônicos,9181.57
164378,Motorola Capa de Silicone Edition 7641,Comunicação,3124.23
263459,Panasonic Fone de Ouvido Bluetooth Plus 1675,Eletrônicos,10919.81
159752,Samsung Caixa de Som Echo Pro 2024 6313,Eletrônicos,5299.76
157226,Razer Mouse Sem Fio Legion 6728,Informática,12601.53
44163,LG Cabo HDMI 2.1 Ultra Slim 1052,Eletrônicos,7426.12
139937,Razer Mouse Sem Fio Nitro 5 2278,Informática,12445.16
188773,Razer Notebook ROG Strix 4662,Informática,4480.57
208467,Lenovo Roteador Wi-Fi 6 ThinkPad 4783,Informática,14506.08
75278,Nokia Capa de Silicone Global 8758,Comunicação,578.45
282507,MSI Monitor Gamer Nitro 5 1438,Informática,12171.13
22869,Asus SSD 1TB NVMe Legion 8322,Informática,1586.29
234507,Bose Protetor de Surto Series X 1626,Eletrônicos,7974.11
153162,Bose Protetor de Surto QLED 8512,Eletrônicos,6094.25
145450,Nokia Power Bank Edition 2013,Comunicação,824.48
286842,Logitech Notebook Inspiron 4575,Informática,13562.99
241806,Corsair Monitor Gamer ThinkPad 2106,Informática,1658.25
5633,Nokia Power Bank Moto G 6405,Comunicação,4486.99
187418,Oppo Capa de Silicone iPhone 15 5934,Comunicação,7402.82
38744,Asus Webcam Full HD G Series 9093,Informática,12473.34
2983,Bose Home Theater Crystal 855,Eletrônicos,8555.03
111725,Motorola Modem 5G Global 7326,Comunicação,1723.26
166830,JBL Micro-ondas Ultra Slim 4158,Eletrônicos,7011.83
217735,Sony Cabo HDMI 2.1 QLED 4017,Eletrônicos,4196.85
105394,Apple Película de Vidro Galaxy S23 1043,Comunicação,7246.58
246833,Lenovo Webcam Full HD G Series 303,Informática,11260.51
188036,LG Caixa de Som Echo Ultra Slim 9576,Eletrônicos,11162.64
223138,Bose Protetor de Surto OLED 2438,Eletrônicos,10647.33
102786,JBL Soundbar Pro 2024 284,Eletrônicos,6608.56
150080,Samsung Fone de Ouvido Bluetooth Plus 4451,Eletrônicos,8325.95
100137,Philips Cabo HDMI 2.1 QLED 475,Eletrônicos,6647.05
222056,Samsung Caixa de Som Echo Plus 2324,Eletrônicos,5487.71
20943,Asus Teclado Mecânico Vostro 4842,Informática,4825.61
108430,Xiaomi Headset com Microfone Galaxy S23 4225,Comunicação,1168.76
183242,MSI SSD 1TB NVMe Vostro 9887,Informática,4736.47
256531,Xiaomi Modem 5G Pixel 8 6116,Comunicação,1837.59
161373,Apple Notebook MacBook Air 7084,Informática,1702.91
81216,Bose Cabo HDMI 2.1 Elite Edition 4288,Eletrônicos,4650.1
295465,Nokia Smartphone Carbon Edition 6502,Comunicação,5100.19
285674,Philips Soundbar QLED 9318,Eletrônicos,2313.87
2652,MSI Notebook G Series 3130,Informática,3339.61
14760,Logitech Teclado Mecânico G Series 3904,Informática,9418.58
135631,Xiaomi Headset com Microfone iPhone 15 7864,Comunicação,4209.77
80209,Xiaomi Carregador Rápido Moto G 9139,Comunicação,2993.65
254383,Apple Monitor Gamer ThinkPad 7891,Informática,9031.91
15987,HP Webcam Full HD Legion 6502,Informática,11850.64
36835,Lenovo Notebook Nitro 5 3846,Informática,5872.74
